variable_name,form_name,field_label,field_type,value_encoding,n_codes,cde_concept_name,cde_vocabulary,cde_concept_code,cde_domain,mapping_confidence
dmlvex,diabetes_survey,"In a typical week, how often do you engage in vigorous exercise? (Examples: hiking, jogging at 6 mph, shoveling, carrying heavy loads, bicycling fast (14-16 mph), playing basketball, playing soccer, playing tennis, or any activity during which you cannot say more than a few words without taking a breath)",radio,10=At least 30 minutes daily 3 or more days a week|5=Less than 30 minutes daily less than 3 days a week|0=Rarely or none|777=Prefer not to say,4,Physical activity target strenuous exercise,SNOMED,408579009,Condition,0.5
raceot,screening_survey,Other (please describe),text,,,Other (specify),LOINC,LA6310-2,Meas Value,1
pxrdcmpts,px_racial_ethnic_discrimination_survey,PhenX Racial/Ethnic Discrimination Survey Completed Timestamp (from REDCap),text,,,Time to complete survey,LOINC,99423-6,Observation,0.5
fh_dm2pt,health_survey,Were either of your parents diagnosed with Type II Diabetes?,radio,1=Yes|0=No|555=Unknown|777=Prefer not to say,4,Family history of diabetes mellitus,SNOMED,160303001,Observation,0.5
pulse_vsorres_2,physical_assessment,Heart Rate (bpm),text,,,Heart rate,SNOMED,364075005,Measurement,1
pxne16,px_neighborhood_environment_survey,The crime rate in my neighborhood makes it unsafe to go on walks during the day. Would you say that you...,radio,1=Strongly disagree|2=Somewhat disagree|3=Somewhat agree|4=Strongly agree|555=Don't know/Not sure|777=Prefer not to say,6,,PhenX,,,
diet3,dietary_survey,How many servings of vegetables did you eat each day?,radio,0=5 or more|1=4-Mar|2=2 or less|777=Prefer not to say,4,Vegetable servings 24 hour Estimated,LOINC,80459-1,Observation,1
dmlmd,diabetes_survey,Which of the following options best describes you with respect to physician care and medications?,radio,10=3 or more visits a year to the same doctor. Regular with medicines.|5=1-2 visits a year. Forgetting medicines frequently.|0=Rarely or none. Not taking 1 or more recommended medicines|777=Prefer not to say,4,Assessment of compliance with medical regimen,SNOMED,410119004,Procedure,0.5
eos_dsvst,disposition,Provide the last study visit/stage completed:,radio,0=Signed Consent|1=Pre-Visit|2=In Person (Baseline)|3=Devices Returned,4,Date of last examination,SNOMED,840643003,Observation,0.5
racerawvalue_1,screening_survey,Race raw value (checkbox),text,,,,,,,
pxrdstartts,px_racial_ethnic_discrimination_survey,PhenX Racial/Ethnic Discrimination Survey Started Timestamp (from REDCap),text,,,Time to complete survey,LOINC,99423-6,Observation,0.5
fh_dm2sb,health_survey,Has a sibling been diagnosed with Type II Diabetes?,radio,1=Yes|0=No|555=Unknown|777=Prefer not to say,4,Family history of diabetes mellitus type 2,SNOMED,430679000,Observation,0.5
pxne17,px_neighborhood_environment_survey,There are many places to go within easy walking distance of my home. Would you say that you...,radio,1=Strongly disagree|2=Somewhat disagree|3=Somewhat agree|4=Strongly agree|555=Don't know/Not sure|777=Prefer not to say,6,,PhenX,,,
diet5,dietary_survey,"How many times a week did you eat beans (like pinto or black beans), chicken, or fish?",radio,0=3 or more times|1=1 - 2 times|2=Less than 1 time|777=Prefer not to say,4,Oral intake,SNOMED,870690008,Observation,0.25
cmcmpdat,meds_assessment,Date medications assessment conducted,text,,,Performed on (specify date),LOINC,LA30233-3,Meas Value,0.75
dri1,driving_record,"In an average week, how many days per week do you normally drive? (number of days)",text,,,,,,,
racerawvalue_2,screening_survey,Race raw value (radio),text,,,,,,,
ancestry,screening_survey,"What is your ancestry or ethnic origin?(Examples: Italian, Jamaican, African American, Cambodian, Cape Verdean, Cherokee, Navajo, Nez Pearce, Norwegian, Dominican, French Canadian, Haitian, Korean, Lebanese, Polish, Nigerian, Mexican, Taiwanese, Ukrainian, and so on.)",text,,,Your ancestry or national origin,LOINC,LA15574-9,Meas Value,0.5
paid_cml,paid5_dm_survey,Coping with complications of diabetes,radio,0=Not a problem|1=Minor problem|2=Moderate problem|3=Somewhat serious problem|4=Serious problem,5,Finding related to ability to cope,SNOMED,397706001,Condition,0.25
pxne2,px_neighborhood_environment_survey,"Many shops, stores, markets or other places to buy things I need are within easy walking distance of my home. Would you say that you...",radio,1=Strongly disagree|2=Somewhat disagree|3=Somewhat agree|4=Strongly agree|555=Don't know/Not sure|777=Prefer not to say,6,"Many shops, stores, markets, or other places to buy things I need are within easy walking distance of my home [PhenX]",LOINC,66357-5,Observation,1
diet6,dietary_survey,How many times a week did you eat regular snack chips or crackers (not low-fat)?,radio,0=1 time or less|1=2 - 3 times|2=4 or more times|777=Prefer not to say,4,Savory snack intake,SNOMED,230079003,Observation,0.75
cmcmpyn,meds_assessment,Medication monitoring assessment,checkbox,,,Medication monitoring assessment,SNOMED,4237617,Procedure,0.75
language,ehr_information,Primary Language,text,,,Language.primary,LOINC,45402-5,Observation,1
racescore,screening_survey,Race raw value (checkbox & radio),text,,,,,,,
ethnic,screening_survey,"Are you of Hispanic, Latina/x or Spanish origin? Please check all that apply.",checkbox,"C41222=No|C67113=Yes, Mexican|C67112=Yes, Puerto Rican|C107608=Yes, Cuban|C67117=Yes, Dominican Republic|C67118=Yes, Central American|C126532=Yes, South American|C999=Yes, Chicano|888=Yes, Other|777=Prefer not to say",10,"Hispanic, latino-a, or spanish origin",LOINC,69854-8,Observation,1
paid_dpr,paid5_dm_survey,Feeling depressed when you think about living with diabetes,radio,0=Not a problem|1=Minor problem|2=Moderate problem|3=Somewhat serious problem|4=Serious problem,5,Depressed mood,SNOMED,366979004,Condition,0.25
pxne3,px_neighborhood_environment_survey,"It is within a 10-15 minute walk to a transit stop (such as bus, train, trolley, or tram) from my home. Would you say that you...",radio,1=Strongly disagree|2=Somewhat disagree|3=Somewhat agree|4=Strongly agree|555=Don't know/Not sure|777=Prefer not to say,6,"It is within a 10-15 minute walk to a transit stop, such as bus, train, trolley, or tram, from my home [PhenX]",LOINC,66358-3,Observation,1
diet7,dietary_survey,How many times a week did you eat desserts and other sweets (not the low-fat kind)?,radio,0=1 time or less|1=2 - 3 times|2=4 or more times|777=Prefer not to say,4,Sweets intake,SNOMED,226463006,Observation,0.75
cmotyn,meds_assessment,"Are there any other medications that you are currently taking that are not included here? This includes prescription or over-the-counter medications, vitamins and herbal supplements.",radio,1=Yes|0=No,2,,,,,
mhoccur_amd,health_survey,Age-related macular degeneration (AMD) (in one or both eyes),radio,1=Yes|0=No|777=Prefer not to say,3,Age related macular degeneration,SNOMED,267718000,Condition,1
racetrib,screening_survey,Tribal affiliation (please describe),text,,,Tribal affiliation,LOINC,95370-3,Observation,1
ethnicot,screening_survey,Other (please specify),text,,,Other (specify),LOINC,LA6310-2,Meas Value,1
paid_eng,paid5_dm_survey,Feeling that diabetes is taking up too much of your mental and physical energy every day,radio,0=Not a problem|1=Minor problem|2=Moderate problem|3=Somewhat serious problem|4=Serious problem,5,Finding related to ability to comply with treatment,SNOMED,397695000,Observation,0.25
pxne4,px_neighborhood_environment_survey,There are sidewalks on most of the streets in my neighborhood. Would you say that you...,radio,1=Strongly disagree|2=Somewhat disagree|3=Somewhat agree|4=Strongly agree|88=Does not apply to my neighborhood|555=Don't know/Not sure|777=Prefer not to say,7,There are sidewalks on most of the streets in my neighborhood [PhenX],LOINC,66359-1,Observation,1
diet8,dietary_survey,"How much margarine, butter, or meat fat do you use to season vegetables or put on potatoes, bread or corn?",radio,0=Very little|1=Some|2=A lot|777=Prefer not to say,4,Fat and oil intake,SNOMED,870372004,Observation,0.75
cmyn,meds_assessment,"Are you currently taking any medications, including prescription, over-the-counter, and supplements?",yesno,,,,,,,
rtekgcmpdattim,procedures,Date & time Cardiology - EKG - Pagewriter TC30 Cardiograp performed,text,,,Date and time of scheduled task,LOINC,90118-1,Observation,0.5
ethnicscore,screening_survey,Hispanic score (needed for demographics screening logic),calc,,,"Hispanic, latino-a, or spanish origin",LOINC,69854-8,Observation,0.75
paid_scrd,paid5_dm_survey,Feeling scared when you think about living with diabetes,radio,0=Not a problem|1=Minor problem|2=Moderate problem|3=Somewhat serious problem|4=Serious problem,5,Fear of metabolic disease,SNOMED,723113005,Condition,0.25
pxne6,px_neighborhood_environment_survey,"My neighborhood has several free or low cost recreation facilities, such as parks, walking trails, bike paths, recreation centers, playgrounds, public swimming pools, etc. Would you say that you...",radio,1=Strongly disagree|2=Somewhat disagree|3=Somewhat agree|4=Strongly agree|555=Don't know/Not sure|777=Prefer not to say,6,"My neighborhood has several free or low-cost recreation facilities, such as parks, walking trails, bike paths, recreation centers, playgrounds, public swimming pools, etc [PhenX]",LOINC,66361-7,Observation,1
diet_nd,dietary_survey,No participant response,checkbox,,,No response,LOINC,LA10996-9,Meas Value,1
pxep1,px_sdoh_combined_survey,Is English your first language?,radio,1=Yes|0=No|777=Prefer not to say,3,Language.primary is English,LOINC,52553-5,Observation,0.75
mhterm_dm1,screening_survey,Type I Diabetes,yesno,,,Diabetes Type 1,LOINC,LA10551-2,Meas Value,1
pxne7,px_neighborhood_environment_survey,The crime rate in my neighborhood makes it unsafe to go on walks at night. Would you say that you...,radio,1=Strongly disagree|2=Somewhat disagree|3=Somewhat agree|4=Strongly agree|555=Don't know/Not sure|777=Prefer not to say,6,The crime rate in my neighborhood makes it unsafe to go on walks at night [PhenX],LOINC,66362-5,Observation,1
dietcmpdat,dietary_survey,Dietary survey date,text,,,Performed on (specify date),LOINC,LA30233-3,Meas Value,0.75
pxep2,px_sdoh_combined_survey,Do you speak another language at home?,radio,1=Yes|0=No|777=Prefer not to say,3,Language other than English,LOINC,LA30188-9,Meas Value,0.75
mhterm_dm2,screening_survey,Type II Diabetes,yesno,,,Diabetes Type 2,LOINC,LA10552-0,Meas Value,1
pxne8,px_neighborhood_environment_survey,There is so much traffic on the streets that it makes it difficult or unpleasant to walk in my neighborhood. Would you say that you...,radio,1=Strongly disagree|2=Somewhat disagree|3=Somewhat agree|4=Strongly agree|88=There are no streets or roads in my neighborhood|555=Don't know/Not sure|777=Prefer not to say,7,,PhenX,,,
dietcmpts,dietary_survey,Dietary Survey Completed Timestamp (from REDCap),text,,,Time to complete survey,LOINC,99423-6,Observation,0.5
pxep3,px_sdoh_combined_survey,"Since you speak a language other than English at home, we are interested in your own opinion of how well you speak English. Would you say you speak English...?",radio,1=Very well|2=Well|3=Not well|0=Not at all|777=Prefer not to say|555=Don't know,6,How well do you speak English [NLAAS],LOINC,66680-0,Observation,1
