Survey,Version,Item Concept,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Field Annotation,Generalized Answer Codes,Registered Tier Rules,Controlled Tier Rules
Personal Medical History,,circulatory_rxmedsforperipheralvasculardisease,personal_medical_history,,radio,Are you currently prescribed medications and/or receiving treatment for peripheral vascular disease?,"RxMedsforPeripheralVascularDisease_Yes, Yes | RxMedsforPeripheralVascularDisease_No, No",,,,[circulatory_circulatoryconditions(CirculatoryConditions_PeripheralVascularDisease)] = '1',,,,,,
Basics,,somethingelse_sexualitysomethingelsetextbox,the_basics,,text,Please specify.,,,,,[genderidentity_sexualitycloserdescription] = 'SexualityCloserDescription_SomethingElse',,LV,REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,CONTROLLED_QUESTION_SUPPRESSED
Lifestyle,,smoking_dailysmokestartingage,lifestyle,,radio,How old were you when you first started regular cigarette smoking?,"smoking_dailysmokestartingage_enterage, Enter response | Smoking_DailySmokeStartingAgeDontKnow, Don't know | Smoking_DailySmokeStartingAgePreferNotToAnswer, Prefer not to answer",,,,[smoking_100cigslifetime] = '100CigsLifetime_Yes',,LV,REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,CONTROLLED_QUESTION_SUPPRESSED
COPE,"November, December, February",rand_alp_csq_xx_1,november_covid19_participant_experience_cope_surve,,radio,"In the past month, did you have a child enrolled in childcare centers, schools, or colleges that is learning remotely because of COVID-19?","cope_a_286, Yes, at home full time | cope_a_284, Yes, at home part of the time | cope_a_328, Yes, but not at home | cope_a_285, No, at care, school, or college full time",,,,[rand_alp_csq_1] = 'COPE_A_44',,LV,,,,
Basics,,employmentworkaddress_city,the_basics,,text,City,,,,,[employment_employmentworkaddress] = 'employment_employmentworkaddress',,LV,REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,CONTROLLED_QUESTION_SUPPRESSED
Lifestyle,,smoking_numberofyears,lifestyle,,radio,How many years have you or did you smoke cigarettes?,"smoking_numberofyears_enteryears, Enter response | Smoking_NumberOfYearsDontKnow, Don't know | Smoking_NumberOfYearsPreferNotToKnow, Prefer not to answer",,,,[smoking_100cigslifetime] = '100CigsLifetime_Yes',,LV,REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,CONTROLLED_QUESTION_SUPPRESSED
Personal Medical History,,mentalhealth_alcoholdisordercurrently,personal_medical_history,,radio,Are you still seeing a doctor or health care provider for alcohol use disorder?,"AlcoholOrDrugCurrently_Yes, Yes | AlcoholOrDrugCurrently_No, No",,,,[mentalhealth_mentalhealthcondition(MentalHealthCondition_AlcoholUse)] = '1',,,,,,
Personal Medical History,,endocrine_howoldwereyouprediabetes,personal_medical_history,,radio,About how old were you when you were first told you had prediabetes?,"HowOldWereYouPrediabetes_Child, Child (0-11) | HowOldWereYouPrediabetes_Adolescent, Adolescent (12-17) | HowOldWereYouPrediabetes_Adult, Adult (18-64) | HowOldWereYouPrediabetes_OlderAdult, Older adult (65-74) | HowOldWereYouPrediabetes_Elderly, Elderly (75+)",,,,[endocrine_endocrineconditions(EndocrineConditions_PreDiabetes)] = '1',,,,,,
Family Health History,,circulatorycondition_heartattack_yes,family_health_history,,checkbox,Who in your family has had a heart attack? Select all that apply.,"MotherCirculatoryCondition_HeartAttack, Mother | FatherCirculatoryCondition_HeartAttack, Father | SiblingCirculatoryCondition_HeartAttack, Sibling | DaughterCirculatoryCondition_HeartAttack, Daughter | SonCirculatoryCondition_HeartAttack, Son | GrandparentCirculatoryCondition_HeartAttack, Grandparent",,,,[diagnosedhealthcondition_circulatorycondition(CirculatoryCondition_HeartAttack)] = '1',,,,,,
Personal Medical History,,circulatory_transientischemicattackcurrently,personal_medical_history,,radio,Are you still seeing a doctor or health care provider for transient ischemic attacks (TIAs or mini-strokes)?,"TransientIschemicAttackCurrently_Yes, Yes | TransientIschemicAttackCurrently_No, No",,,,[circulatory_circulatoryconditions(CirculatoryConditions_TransientIschemicAttack)] = '1',,,,,,
