field_id,field_name,description,category,data_type,units,value_encoding,encoding_id,encoding_name,n_codes,participant_count
2335,Chest pain or discomfort,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?""",Chest pain,Categorical single,,1=Yes|0=No|-1=Do not know|-3=Prefer not to answer,100349,,4,501055
29193,When online General health questionnaire started,When General health module of online mental well-being questionnaire started,General health,Date,,,,,,169395
2178,Overall health rating,"ACE touchscreen question ""In general how would you rate your overall health?""",General health,Categorical single,,1=Excellent|2=Good|3=Fair|4=Poor|-1=Do not know|-3=Prefer not to answer,100508,,6,501060
2188,"Long-standing illness, disability or infirmity","ACE touchscreen question ""Do you have any long-standing illness, disability or infirmity?""",General health,Categorical single,,1=Yes|0=No|-1=Do not know|-3=Prefer not to answer,100349,,4,501060
137,Number of treatments/medications taken,Number of treatments (medications) entered,Medications,Integer,,,,,,501109
77,"Heel bone ultrasound T-score, manual entry",This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,Bone-densitometry of heel,Continuous,Std.Devs,,,,,42691
87,Non-cancer illness year/age first occurred,"For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",Medical conditions,Integer,,-3=Preferred not to answer|-1=Time uncertain/unknown,37,,2,400878
32316,Has difficulty remembering people's date of birth,"Social Interactions and Focus online question: ""I am not very good at remembering people's date of birth.""<p>Scoring: If ~F32316~ is  Slightly disagree or Definitely disagree, increase AQ score by 1",Autism Spectrum Quotient,Categorical single,,1=Definitely agree|2=Slightly agree|3=Slightly disagree|4=Definitely disagree|-3=Prefer not to answer,2630,,5,161269
10132,Type of progestan-only oral contraceptive used (pilot),"ACE touchscreen question ""Are you NOW taking any of the following?""",Female-specific factors,Categorical single,,1=Microval|2=Micronor|3=Noriday|4=Norgeston|5=Femulen|6=Cerazette|-1=None of the above|-3=Prefer not to answer,100686,,8,44
26410,Index of Multiple Deprivation (England),"The English Indices of Deprivation 2010 are measures of multiple deprivation at the small area level. The model of multiple deprivation which underpins the Indices of Deprivation 2010 is based on the idea of distinct domains of deprivation which can be recognised and measured separately. These domains are experienced by individuals living in an area. People may be counted in one or more of the domains, depending on the number of types of deprivation that they experience.<p> Each domain represents a specific form of deprivation experienced by people and each can be measured individually using a number of indicators. Seven distinct domains have been identified in the English Indices of Deprivation; Income Deprivation, Employment Deprivation, Health Deprivation and Disability, Education Skills and Training Deprivation, Barriers to Housing and Services, Living Environment Deprivation, and Crime. Individual domains can be used in isolation as measures of each specific form of deprivation. They can also be combined, using appropriate weights, into a single overall Index of Multiple Deprivation which can be used to rank every small area in England according to the deprivation experienced by the people living there. Along with two supplementary indices, Income Deprivation Affecting Children Index and Income Deprivation Affecting Older People Index, they form the English Indices of Deprivation. These statistics allow the most, and least, deprived areas of the country to be identified as well as providing information about the issues faced by people living in different parts of the country.",Indices of Multiple Deprivation,Continuous,,,,,,432215
21048,Degree bothered by back pain in the past 3 months,"Question asked: ""During the past 3 months, how much have you been bothered by back pain?"" <p>The question in this field was taken from the Patient Health Questionnaire 12 Somatic Symptom scale (PHQ-12 SS) used with the publisher's permission. <p>Spiller RC, Humes DJ, Campbell E, et al. The Patient Health Questionnaire 12 Somatic Symptom scale as a predictor of symptom severity and consulting behaviour in patients with irritable bowel syndrome and symptomatic diverticular disease. Alimentary Pharmacology & Therapeutics. 2010;32:811-820",Digestive health,Categorical single,,-600=Not bothered at all|-601=Bothered a little|-602=Bothered a lot|-818=Prefer not to answer,339,,4,183836
26418,Income score (Wales),The purpose of this domain is to capture the extent of deprivation relating to income at a small area level across Wales. It focuses on the proportion of people living in households with income below a defined threshold or claiming benefits relating to low incomes. The indicators used for the income domain were: <ul> <li>Adults & children in income support households</li> <li>Adults & children in pension credit households</li> <li>Adults & children in income-based job seekers allowance households</li> <li>Adults & children in tax credit (child tax credit and working tax credit) households below a low income threshold</li> <li>National Asylum Support Service (NASS) supported asylum seekers in Wales in receipt of subsistence only and accommodation support</li> </ul>,Indices of Multiple Deprivation,Continuous,,,,,,21180
94,"Diastolic blood pressure, manual reading","Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",Blood pressure,Integer,mmHg,,,,,54054
22499,Device used to enter occupational data,"User asked: ""Which description best describes the device you are currently using to complete this questionnaire?""",Work environment,Categorical single,,1=Deskop computer|2=Laptop computer|3=Tablet computer|4=Smartphone|5=Other touchscreen device|6=Other non-touchscreen device|-818=Prefer not to answer,480,,7,121123
1249,Past tobacco smoking,"ACE touchscreen question ""In the past, how often have you smoked tobacco?""<p>~F1249~ was collected from all participants except those who indicated they currently smoke on most or all days, as defined by their answers to ~F1239~",Smoking,Categorical single,,1=Smoked on most or all days|2=Smoked occasionally|3=Just tried once or twice|4=I have never smoked|-3=Prefer not to answer,100348,,5,464715
1628,Alcohol intake versus 10 years previously,"ACE touchscreen question ""Compared to 10 years ago, do you drink?""<p>~F1628~ was collected from participants who indicated they drink alcohol, as defined by their answers to ~F1558~",Alcohol,Categorical single,,1=More nowadays|2=About the same|3=Less nowadays|-1=Do not know|-3=Prefer not to answer,100417,,5,460888
3089,Caffeine drink within last hour,Participants were asked whether they had drank caffeine within the hour prior to doing the spirometry test,Spirometry,Categorical single,,1=Yes|0=No,7,,2,462453
50,Standing height,Standing height was measured using a Seca 202 device,Body size measures,Continuous,cm,,,,,499541
120,Birth weight known,Birth weight known <br><br>This question was dropped from the touchscreen protocol on 24/10/2016.,Early life factors,Categorical single,,1=Yes - pounds and ounces|2=Yes - Kilograms|9=No,100258,,3,501081
20045,Reason for skipping waist,Reason waist measurement was not performed (entered as free-text by a UK Biobank Staff member).<p>This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.,Body size measures,Categorical single,,100=Declined|101=Against participant wishes|102=Lack of time|103=Feeling unwell|104=Other health reason|200=Equipment failure|201=Malfunction|202=Not available|300=Reason not known|400=Unable|401=Above max weight|402=Amputee|403=Feeling unwell|404=Limb injury|405=Other health reason|406=Pregnant|407=Reason not stated|408=Unable to grip|409=Unable to remove shoes/socks|410=Wheelchair user/unable to stand|411=Asthma/lung disease|412=Unable to understand instructions|413=Physically unable|414=Previous measures unavailable|415=Arthritis|416=Recent surgery|417=Stroke/weakness/paralysis|418=Above max measurement|419=Colostomy bag|420=Below minimum height scale|421=Unable to sit|500=Nurse Advised not to perform|501=Chest infection|502=Collapsed lung|503=Heart problems|504=High BP|505=Pregnant|506=Reason not known|507=Recent surgery|508=Retinal detachment/eye problems|509=Tuberculosis,47,,41,445
37,Blood pressure manual sphygmomanometer device ID,Blood pressure manual sphygmomanometer gadget ID,Blood pressure,Text,,,,,,498500
4041,Gestational diabetes only,"ACE touchscreen question ""Did you only have diabetes during pregnancy?""<p>~F4041~ was collected from women who indicated that a doctor had told them they had diabetes, as defined by their answers to ~F2443~",Medical conditions,Categorical single,,1=Yes|0=No|-2=Not applicable|-1=Do not know|-3=Prefer not to answer,100617,,5,11988
4196,Pulse wave peak to peak time,peak to peak time in milliseconds<p>A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. peak to peak time is the difference between the peak values of direct and reflected components.,Arterial stiffness,Integer,milliseconds,,,,,236187
4248,Keystroke history (right),This is the keystroke history for the hearing test (right ear),Hearing test,Text,,,,,,240345
135,Number of self-reported non-cancer illnesses,Number of non-cancer illnesses entered,Medical conditions,Integer,,,,,,501109
22167,Recent medication for asthma,User asked whether they are currently on medication for the asthma which was diagnosed by a doctor,Medical information,Categorical single,,1=Yes|0=No,7,,2,15480
2100,"Seen a psychiatrist for nerves, anxiety, tension or depression","ACE touchscreen question ""Have you ever seen a psychiatrist for nerves, anxiety, tension or depression?""",Mental health,Categorical single,,1=Yes|0=No|-1=Do not know|-3=Prefer not to answer,100349,,4,501067
20419,Difficulty concentrating during worst period of anxiety,"Question asked: ""When you were worried or anxious, were you also: Having difficulty keeping your mind on what you were doing?"" <p>Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.",Anxiety,Categorical single,,-121=Do not know|0=No|1=Yes,520,,3,48692
20544,Mental health problems ever diagnosed by a professional,"Question asked: ""Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):""<p>Participant was offered a set of options which have been combined here into a single answer",Mental distress,Categorical multiple,,"1=Social anxiety or social phobia|2=Schizophrenia|3=Any other type of psychosis or psychotic illness|4=A personality disorder|5=Any other phobia (eg disabling fear of heights or spiders)|6=Panic attacks|7=Obsessive compulsive disorder (OCD)|10=Mania, hypomania, bipolar or manic-depression|11=Depression|12=Bulimia nervosa|13=Psychological over-eating or binge-eating|14=Autism, Asperger's or autistic spectrum disorder|15=Anxiety, nerves or generalized anxiety disorder|16=Anorexia nervosa|17=Agoraphobia|18=Attention deficit or attention deficit and hyperactivity disorder (ADD/ADHD)|-818=Prefer not to answer (group A)|-819=Prefer not to answer (group B)",1401,,18,50011
20533,Trouble falling asleep,"Question asked: ""Was that: [re sleep change] Trouble falling asleep"" <p>Question was asked when ~F20532~ was Yes.",Depression,Categorical single,,0=No|1=Yes,508,,2,60812
6016,Chest pain felt outside physical activity,"Exercise safety question 3, asked prior to fitness test<p>""In the past month, have you had chest pain when you were NOT doing physical activity""",ECG during exercise,Categorical single,,1=Yes|2=Unsure|0=No,100267,,3,96441
6017,Able to walk or cycle unaided for 10 minutes,"Exercise safety question 4, asked prior to fitness test<p>""Are you able to walk or cycle unaided for 10 minutes""",ECG during exercise,Categorical single,,1=Yes|2=Unsure|0=No,100267,,3,96441
3616,Chest pain due to walking ceases when standing still,"ACE touchscreen question ""Does this chest pain go away when you stand still?""<p>~F3616~ was collected from participants who indicated that they get pain or discomfort in their chest, as defined by their answers to ~F2335~ and either get this pain when they walk at an ordinary pace on the level, as defined by their answers to ~F3606~ or when they walk uphill or in a hurry, as defined by their answers to ~F3751~",Chest pain,Categorical single,,1=Yes|0=No|-1=Do not know|-3=Prefer not to answer,100349,,4,35716
